考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,客观总分,主观总分,全卷总分,客观错题题号
100101,日向翔阳,0,5,5,5,5,0,5,0,6,0,6,0,5,0,5,7,6,7,7,42,32,74,"Q1,Q6,Q8,Q10,Q12,Q14"
100102,影山飞雄,5,5,5,5,0,0,0,5,6,6,3,0,0,5,6,6,9,11,11,45,43,88,"Q5,Q6,Q7,Q12,Q13"
100103,黑子哲也,5,5,0,0,5,0,0,0,6,6,6,0,5,5,5,6,4,9,10,43,34,77,"Q3,Q4,Q6,Q7,Q8,Q12"
100104,越前龙马,5,5,0,5,0,5,5,5,6,3,0,5,0,5,6,5,5,7,7,49,30,79,"Q3,Q5,Q11,Q13"
100105,洁世一,5,5,0,0,5,0,0,5,6,6,0,0,0,5,5,5,7,5,7,37,29,66,"Q3,Q4,Q6,Q7,Q11,Q12,Q13"
100106,星野裕,5,5,5,0,5,0,5,5,6,6,3,0,5,5,7,9,9,12,8,55,45,100,"Q4,Q6,Q12"
100107,月本诚,5,0,5,0,5,5,5,5,6,6,3,5,5,0,3,5,4,4,6,55,22,77,"Q2,Q4,Q14"
100108,风间龙一,0,0,5,0,0,0,0,0,0,0,0,5,0,5,3,2,3,3,4,15,15,30,"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q13"
100109,佐久间学,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,3,3,3,4,6,17,23,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q10,Q11,Q12,Q13,Q14"
100110,矢口八虎,5,5,0,0,0,0,5,5,6,0,0,5,5,5,6,8,9,7,8,41,38,79,"Q3,Q4,Q5,Q6,Q10,Q11"
100111,高桥世田介,5,0,5,5,5,0,5,5,0,6,6,0,5,5,10,11,9,13,12,52,55,107,"Q2,Q6,Q9,Q12"
100112,桥田悠,0,0,5,0,5,0,5,5,0,6,0,0,0,5,5,8,9,10,7,31,39,70,"Q1,Q2,Q4,Q6,Q9,Q11,Q12,Q13"
