考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,客观总分,主观总分,全卷总分,客观错题题号
100001,海崎新太,5,0,5,0,5,5,6,4,0,0,30,,30,"Q2,Q4,Q9,Q10"
100002,日代千鹤,0,0,0,5,0,0,0,0,0,0,5,,5,"Q1,Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q10"
100003,高坂京介,0,0,0,5,0,5,0,6,6,0,22,,22,"Q1,Q2,Q3,Q5,Q7,Q10"
100004,高坂桐乃,5,5,0,5,5,0,0,0,6,0,26,,26,"Q3,Q6,Q7,Q8,Q10"
100005,逢坂大河,0,5,5,0,5,0,6,4,6,0,31,,31,"Q1,Q4,Q6,Q10"
100006,牧之原翔子,0,0,0,0,5,0,0,0,6,0,11,,11,"Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q10"
100007,折木奉太郎,5,5,5,5,5,0,6,6,6,6,49,,49,Q6
100008,千反田爱瑠,0,5,0,0,0,0,3,0,0,0,8,,8,"Q1,Q3,Q4,Q5,Q6,Q8,Q9,Q10"
100009,福部里志,5,0,5,0,5,5,6,6,0,2,34,,34,"Q2,Q4,Q9"
100010,伊原摩耶花,0,0,0,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
100011,凉宫春日,0,0,0,5,5,5,0,0,0,0,15,,15,"Q1,Q2,Q3,Q7,Q8,Q9,Q10"
100012,长门有希,0,5,0,5,5,5,6,0,0,3,29,,29,"Q1,Q3,Q8,Q9"
100013,朝比奈实玖瑠,0,0,5,0,0,0,0,0,3,0,8,,8,"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q10"
100014,古泉一树,0,5,0,0,0,5,0,6,6,0,22,,22,"Q1,Q3,Q4,Q5,Q7,Q10"
100015,佐佐木,0,0,0,5,5,5,6,0,0,3,24,,24,"Q1,Q2,Q3,Q8,Q9"
100016,小鸟游六花,5,5,5,0,5,0,2,6,6,6,40,,40,"Q4,Q6"
100017,富樫勇太,0,0,0,0,5,0,0,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10"
100018,丹生谷森夏,5,5,5,5,5,5,0,0,6,0,36,,36,"Q7,Q8,Q10"
100019,凸守早苗,5,5,5,5,5,5,6,6,0,6,48,,48,Q9
100020,七宫智音,0,0,0,0,0,0,6,0,0,0,6,,6,"Q1,Q2,Q3,Q4,Q5,Q6,Q8,Q9,Q10"
100021,神田空太,5,5,0,5,0,5,6,6,6,6,44,,44,"Q3,Q5"
100022,椎名真白,5,5,5,5,0,0,6,6,6,6,44,,44,"Q5,Q6"
100023,青山七海,5,5,0,5,5,5,0,6,4,0,35,,35,"Q3,Q7,Q10"
