考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,客观总分,主观总分,全卷总分,客观错题题号
100101,日向翔阳,5,5,0,5,0,0,3,6,24,,24,"Q3,Q5,Q6"
100102,影山飞雄,5,0,5,5,0,6,3,0,24,,24,"Q2,Q5,Q8"
100103,黑子哲也,5,5,0,5,5,3,3,2,28,,28,Q3
100104,越前龙马,5,5,0,5,5,0,6,6,32,,32,"Q3,Q6"
100105,洁世一,0,0,0,0,5,0,6,0,11,,11,"Q1,Q2,Q3,Q4,Q6,Q8"
100106,星野裕,5,0,5,5,5,3,3,6,32,,32,Q2
100107,月本诚,5,5,0,5,0,6,0,3,24,,24,"Q3,Q5,Q7"
100108,风间龙一,0,0,0,5,0,0,0,0,5,,5,"Q1,Q2,Q3,Q5,Q6,Q7,Q8"
100109,佐久间学,5,5,5,0,0,0,0,0,15,,15,"Q4,Q5,Q6,Q7,Q8"
100110,矢口八虎,5,5,0,0,0,6,0,6,22,,22,"Q3,Q4,Q5,Q7"
100111,高桥世田介,5,5,5,5,5,6,3,0,34,,34,Q8
100112,桥田悠,0,5,0,5,5,0,6,4,25,,25,"Q1,Q3,Q6"
100113,桑名真希,0,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8"
100114,进藤光,5,0,5,0,0,6,6,0,22,,22,"Q2,Q4,Q5,Q8"
100115,塔矢亮,5,0,0,0,0,0,0,0,5,,5,"Q2,Q3,Q4,Q5,Q6,Q7,Q8"
100116,藤原佐为,0,5,0,0,0,6,0,0,11,,11,"Q1,Q3,Q4,Q5,Q7,Q8"
100117,和谷义高,0,5,0,0,5,0,0,6,16,,16,"Q1,Q3,Q4,Q6,Q7"
100118,竹本祐太,5,5,5,5,0,6,0,3,29,,29,"Q5,Q7"
100119,森田忍,5,5,0,5,0,0,0,0,15,,15,"Q3,Q5,Q6,Q7,Q8"
100120,真山巧,5,5,5,0,5,0,0,6,26,,26,"Q4,Q6,Q7"
100121,山田亚弓,5,5,5,5,5,4,6,6,41,,41,
100122,花本育,0,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8"
100123,野田惠,0,0,0,0,5,0,3,0,8,,8,"Q1,Q2,Q3,Q4,Q6,Q8"
100124,千秋真一,0,5,5,0,5,3,6,4,28,,28,"Q1,Q4"
100125,奥山真澄,5,0,0,0,0,2,0,0,7,,7,"Q2,Q3,Q4,Q5,Q7,Q8"
100126,峰龙太郎,5,0,5,0,0,6,6,0,22,,22,"Q2,Q4,Q5,Q8"
100127,日野香穗子,5,5,5,5,5,6,6,5,42,,42,
100128,月森莲,5,5,5,5,0,0,0,3,23,,23,"Q5,Q6,Q7"
100129,土浦梁太郎,5,0,0,5,5,0,6,6,27,,27,"Q2,Q3,Q6"
100130,志水桂一,5,5,0,5,5,6,6,0,32,,32,"Q3,Q8"
100131,泷岛彗,5,0,5,5,5,6,6,0,32,,32,"Q2,Q8"
100132,华园光,0,0,5,0,0,3,6,0,14,,14,"Q1,Q2,Q4,Q5,Q8"
100133,杂贺八寻,5,5,5,0,0,0,0,0,15,,15,"Q4,Q5,Q6,Q7,Q8"
100134,狩野宙,0,0,0,0,5,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q6,Q7,Q8"
100135,鲇泽美咲,0,0,5,0,0,0,0,6,11,,11,"Q1,Q2,Q4,Q5,Q6,Q7"
100136,碓冰拓海,0,0,5,0,0,0,6,0,11,,11,"Q1,Q2,Q4,Q5,Q6,Q8"
100137,花园樱,0,0,5,0,0,0,0,0,5,,5,"Q1,Q2,Q4,Q5,Q6,Q7,Q8"
100138,加贺静子,5,0,5,5,5,4,0,0,24,,24,"Q2,Q7,Q8"
100139,藤冈春绯,5,5,5,5,5,0,6,6,37,,37,Q6
100140,须王环,5,5,5,0,5,6,0,0,26,,26,"Q4,Q7,Q8"
100141,凤镜夜,0,0,0,5,0,6,6,0,17,,17,"Q1,Q2,Q3,Q5,Q8"
100142,常陆院光,5,0,0,5,0,0,6,6,22,,22,"Q2,Q3,Q5,Q6"
100143,常陆院馨,0,0,0,0,0,0,4,0,4,,4,"Q1,Q2,Q3,Q4,Q5,Q6,Q8"
100144,冢本天满,0,0,5,0,0,0,6,0,11,,11,"Q1,Q2,Q4,Q5,Q6,Q8"
100145,播磨拳儿,0,0,0,0,5,2,0,0,7,,7,"Q1,Q2,Q3,Q4,Q7,Q8"
100146,泽近爱理,5,0,0,5,5,0,0,0,15,,15,"Q2,Q3,Q6,Q7,Q8"
100147,周防美琴,5,5,5,0,0,0,0,0,15,,15,"Q4,Q5,Q6,Q7,Q8"
100148,宫前佳奈子,5,5,0,5,5,0,6,6,32,,32,"Q3,Q6"
100149,祇堂鞠也,5,0,0,5,0,6,0,0,16,,16,"Q2,Q3,Q5,Q7,Q8"
100150,汐王寺茉莉花,5,5,5,0,5,6,3,3,32,,32,Q4
