考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,客观总分,主观总分,全卷总分,客观错题题号
100001,海崎新太,0,5,0,5,0,0,5,3,6,6,2,32,,32,"Q1,Q3,Q5,Q6"
100002,日代千鹤,0,0,5,5,5,0,0,0,0,6,0,21,,21,"Q1,Q2,Q6,Q7,Q8,Q9,Q11"
100003,高坂京介,0,0,0,5,5,0,5,3,0,0,4,22,,22,"Q1,Q2,Q3,Q6,Q9,Q10"
100004,高坂桐乃,0,5,0,5,5,0,0,6,0,0,6,27,,27,"Q1,Q3,Q6,Q7,Q9,Q10"
100005,逢坂大河,5,5,5,5,0,5,5,3,6,6,2,47,,47,Q5
100006,牧之原翔子,5,5,5,5,5,5,5,0,0,3,6,44,,44,"Q8,Q9"
100007,折木奉太郎,0,0,5,0,5,5,5,6,6,0,0,32,,32,"Q1,Q2,Q4,Q10,Q11"
100008,千反田爱瑠,0,0,0,5,5,0,5,0,0,0,0,15,,15,"Q1,Q2,Q3,Q6,Q8,Q9,Q10,Q11"
100009,福部里志,0,0,5,0,0,5,0,0,3,0,6,19,,19,"Q1,Q2,Q4,Q5,Q7,Q8,Q10"
100010,伊原摩耶花,0,5,0,0,0,0,0,0,3,0,4,12,,12,"Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q10"
100011,凉宫春日,5,5,5,0,5,5,5,0,0,6,0,36,,36,"Q4,Q8,Q9,Q11"
100012,长门有希,5,0,5,0,0,5,5,6,0,0,0,26,,26,"Q2,Q4,Q5,Q9,Q10,Q11"
100013,朝比奈实玖瑠,5,5,5,5,0,0,0,0,0,0,0,20,,20,"Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100014,古泉一树,5,0,0,0,5,0,0,0,0,6,0,16,,16,"Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q11"
100015,佐佐木,0,0,5,5,5,0,5,6,6,6,6,44,,44,"Q1,Q2,Q6"
100016,小鸟游六花,0,5,5,0,0,0,5,6,0,0,6,27,,27,"Q1,Q4,Q5,Q6,Q9,Q10"
100017,富樫勇太,5,0,5,5,0,5,0,0,0,0,0,20,,20,"Q2,Q5,Q7,Q8,Q9,Q10,Q11"
100018,丹生谷森夏,5,0,5,5,5,5,5,6,6,6,6,54,,54,Q2
100019,凸守早苗,5,5,5,5,5,5,0,3,0,6,6,45,,45,"Q7,Q9"
100020,七宫智音,5,0,0,0,0,0,0,0,0,0,0,5,,5,"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100021,神田空太,5,0,5,5,5,5,5,0,6,0,4,40,,40,"Q2,Q8,Q10"
100022,椎名真白,0,5,0,5,5,5,5,6,3,0,3,37,,37,"Q1,Q3,Q10"
100023,青山七海,0,0,0,5,5,5,0,6,0,0,6,27,,27,"Q1,Q2,Q3,Q7,Q9,Q10"
100024,上井草美咲,5,0,5,0,0,0,0,0,0,6,0,16,,16,"Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q11"
100025,三鹰仁,5,5,5,0,5,5,5,6,6,4,0,46,,46,"Q4,Q11"
100026,赤坂龙之介,0,5,0,5,5,0,0,0,0,0,6,21,,21,"Q1,Q3,Q6,Q7,Q8,Q9,Q10"
100027,绫小路清隆,0,0,5,5,0,5,0,3,0,0,0,18,,18,"Q1,Q2,Q5,Q7,Q9,Q10,Q11"
100028,堀北铃音,0,0,0,0,0,5,0,0,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q10,Q11"
100029,栉田桔梗,5,5,5,5,0,0,0,6,6,0,6,38,,38,"Q5,Q6,Q7,Q10"
100030,轻井泽惠,5,5,5,5,5,0,5,0,6,3,6,45,,45,"Q6,Q8"
100031,一之濑帆波,5,5,5,0,5,0,5,6,2,6,6,45,,45,"Q4,Q6"
100032,坂柳有栖,5,5,0,0,5,5,0,3,6,6,0,35,,35,"Q3,Q4,Q7,Q11"
100033,龙园翔,5,0,0,0,5,5,0,0,3,0,0,18,,18,"Q2,Q3,Q4,Q7,Q8,Q10,Q11"
100034,比企谷八幡,5,5,5,5,5,5,5,6,0,0,0,41,,41,"Q9,Q10,Q11"
100035,雪之下雪乃,5,5,0,0,5,0,0,4,0,0,0,19,,19,"Q3,Q4,Q6,Q7,Q9,Q10,Q11"
100036,由比滨结衣,5,0,0,5,5,0,5,0,4,6,6,36,,36,"Q2,Q3,Q6,Q8"
100037,一色彩羽,0,5,5,5,5,5,5,6,0,0,6,42,,42,"Q1,Q9,Q10"
100038,户冢彩加,5,5,5,5,5,5,0,6,0,0,0,36,,36,"Q7,Q9,Q10,Q11"
100039,平泽唯,5,5,5,5,5,5,5,6,0,0,0,41,,41,"Q9,Q10,Q11"
100040,秋山澪,5,5,0,5,5,5,5,0,6,6,6,48,,48,"Q3,Q8"
100041,田井中律,5,5,5,0,5,0,0,6,6,4,0,36,,36,"Q4,Q6,Q7,Q11"
100042,琴吹䌷,5,0,0,0,0,0,0,0,0,0,0,5,,5,"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100043,中野梓,0,5,5,5,0,0,0,0,0,3,6,24,,24,"Q1,Q5,Q6,Q7,Q8,Q9"
100044,黄前久美子,5,0,0,0,5,0,5,0,0,0,0,15,,15,"Q2,Q3,Q4,Q6,Q8,Q9,Q10,Q11"
100045,高坂丽奈,0,0,5,0,0,5,5,0,0,0,0,15,,15,"Q1,Q2,Q4,Q5,Q8,Q9,Q10,Q11"
100046,川岛绿辉,5,5,0,0,0,0,5,0,0,0,0,15,,15,"Q3,Q4,Q5,Q6,Q8,Q9,Q10,Q11"
100047,加藤叶月,0,0,5,0,5,0,5,0,0,0,0,15,,15,"Q1,Q2,Q4,Q6,Q8,Q9,Q10,Q11"
100048,田中明日香,5,5,0,5,0,5,5,6,6,0,6,43,,43,"Q3,Q5,Q10"
100049,伞木希美,0,0,5,5,5,5,5,3,0,6,0,34,,34,"Q1,Q2,Q9,Q11"
100050,铠冢霙,0,5,5,0,5,0,5,6,6,6,3,41,,41,"Q1,Q4,Q6"
