考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,客观总分,主观总分,全卷总分,客观错题题号
100001,海崎新太,5,0,0,0,0,5,0,0,0,6,0,6,22,,22,"Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q11"
100002,日代千鹤,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12"
100003,高坂京介,5,0,0,0,0,5,0,0,0,3,4,6,23,,23,"Q2,Q3,Q4,Q5,Q7,Q8,Q9"
100004,高坂桐乃,0,5,0,0,0,0,5,0,3,6,6,0,25,,25,"Q1,Q3,Q4,Q5,Q6,Q8,Q12"
100005,逢坂大河,5,5,0,5,0,0,5,5,3,6,0,6,40,,40,"Q3,Q5,Q6,Q11"
100006,牧之原翔子,0,5,5,0,5,5,5,5,0,0,6,2,38,,38,"Q1,Q4,Q9,Q10"
100007,折木奉太郎,5,5,5,5,5,5,5,5,6,0,0,0,46,,46,"Q10,Q11,Q12"
100008,千反田爱瑠,5,5,0,0,5,5,0,0,0,6,0,0,26,,26,"Q3,Q4,Q7,Q8,Q9,Q11,Q12"
100009,福部里志,0,0,5,0,5,5,0,5,0,0,0,0,20,,20,"Q1,Q2,Q4,Q7,Q9,Q10,Q11,Q12"
100010,伊原摩耶花,0,0,5,0,0,0,0,5,0,6,0,0,16,,16,"Q1,Q2,Q4,Q5,Q6,Q7,Q9,Q11,Q12"
100011,凉宫春日,0,0,5,0,5,5,5,0,6,6,0,0,32,,32,"Q1,Q2,Q4,Q8,Q11,Q12"
100012,长门有希,5,5,0,5,5,0,0,0,6,0,0,0,26,,26,"Q3,Q6,Q7,Q8,Q10,Q11,Q12"
100013,朝比奈实玖瑠,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12"
100014,古泉一树,5,0,5,0,0,5,0,0,0,0,0,0,15,,15,"Q2,Q4,Q5,Q7,Q8,Q9,Q10,Q11,Q12"
100015,佐佐木,5,0,0,0,5,5,5,0,6,6,0,6,38,,38,"Q2,Q3,Q4,Q8,Q11"
100016,小鸟游六花,0,5,5,5,5,5,5,0,6,0,6,6,48,,48,"Q1,Q8,Q10"
100017,富樫勇太,5,0,5,0,5,0,0,5,6,6,0,0,32,,32,"Q2,Q4,Q6,Q7,Q11,Q12"
100018,丹生谷森夏,5,5,5,5,5,5,0,5,0,0,0,3,38,,38,"Q7,Q9,Q10,Q11"
100019,凸守早苗,5,5,5,0,0,5,5,5,2,6,0,6,44,,44,"Q4,Q5,Q11"
100020,七宫智音,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12"
100021,神田空太,5,5,5,5,0,5,5,0,0,0,6,6,42,,42,"Q5,Q8,Q9,Q10"
100022,椎名真白,5,0,0,0,5,5,5,0,6,6,3,0,35,,35,"Q2,Q3,Q4,Q8,Q12"
100023,青山七海,0,0,0,5,5,5,0,0,6,0,6,0,27,,27,"Q1,Q2,Q3,Q7,Q8,Q10,Q12"
100024,上井草美咲,0,5,0,0,5,5,5,5,0,0,0,0,25,,25,"Q1,Q3,Q4,Q9,Q10,Q11,Q12"
100025,三鹰仁,5,5,5,5,5,5,5,0,6,6,6,2,55,,55,Q8
100026,赤坂龙之介,5,5,0,0,0,0,5,5,0,0,2,3,25,,25,"Q3,Q4,Q5,Q6,Q9,Q10"
100027,绫小路清隆,0,5,0,5,5,0,5,5,0,0,3,0,28,,28,"Q1,Q3,Q6,Q9,Q10,Q12"
100028,堀北铃音,5,0,0,0,0,0,0,5,0,0,6,6,22,,22,"Q2,Q3,Q4,Q5,Q6,Q7,Q9,Q10"
100029,栉田桔梗,5,5,5,5,5,5,5,0,6,6,6,6,59,,59,Q8
100030,轻井泽惠,5,5,0,5,5,5,0,5,6,6,6,0,48,,48,"Q3,Q7,Q12"
100031,一之濑帆波,5,5,5,5,5,5,5,5,6,0,2,6,54,,54,Q10
100032,坂柳有栖,5,5,5,5,5,5,5,5,6,0,2,3,51,,51,Q10
100033,龙园翔,0,0,0,0,0,0,5,5,3,0,0,6,19,,19,"Q1,Q2,Q3,Q4,Q5,Q6,Q10,Q11"
100034,比企谷八幡,5,5,5,5,5,5,5,5,6,0,0,0,46,,46,"Q10,Q11,Q12"
100035,雪之下雪乃,0,5,5,5,0,5,0,5,3,6,4,6,44,,44,"Q1,Q5,Q7"
100036,由比滨结衣,5,5,0,5,0,0,0,0,6,0,6,3,30,,30,"Q3,Q5,Q6,Q7,Q8,Q10"
100037,一色彩羽,5,5,5,5,5,5,0,5,3,6,6,3,53,,53,Q7
100038,户冢彩加,5,5,5,0,5,5,5,5,2,0,6,6,49,,49,"Q4,Q10"
100039,平泽唯,5,5,5,5,0,5,5,5,0,4,0,6,45,,45,"Q5,Q9,Q11"
100040,秋山澪,5,5,0,0,0,0,0,5,0,6,6,6,33,,33,"Q3,Q4,Q5,Q6,Q7,Q9"
100041,田井中律,0,5,5,5,0,5,5,0,6,6,6,0,43,,43,"Q1,Q5,Q8,Q12"
100042,琴吹䌷,5,0,0,0,0,5,0,0,0,6,0,0,16,,16,"Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q11,Q12"
100043,中野梓,0,5,5,5,5,0,5,5,0,6,0,0,36,,36,"Q1,Q6,Q9,Q11,Q12"
100044,黄前久美子,0,0,0,5,5,0,0,0,0,0,0,0,10,,10,"Q1,Q2,Q3,Q6,Q7,Q8,Q9,Q10,Q11,Q12"
100045,高坂丽奈,0,0,5,5,0,0,5,0,0,0,0,0,15,,15,"Q1,Q2,Q5,Q6,Q8,Q9,Q10,Q11,Q12"
100046,川岛绿辉,0,5,0,5,5,0,0,0,0,6,0,0,21,,21,"Q1,Q3,Q6,Q7,Q8,Q9,Q11,Q12"
100047,加藤叶月,0,0,0,0,0,0,0,5,6,0,0,0,11,,11,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q10,Q11,Q12"
100048,田中明日香,0,0,5,5,0,0,5,0,0,0,0,0,15,,15,"Q1,Q2,Q5,Q6,Q8,Q9,Q10,Q11,Q12"
100049,伞木希美,0,5,5,5,5,5,0,5,6,0,3,4,43,,43,"Q1,Q7,Q10"
100050,铠冢霙,5,5,0,0,5,5,0,0,0,0,0,0,20,,20,"Q3,Q4,Q7,Q8,Q9,Q10,Q11,Q12"
